Clasificación_D,Nombre de Institución,Measure Names,Measure Values
(a) Universidades Estatales CRUCH,U. DE LA SERENA,Mts2 de Salas / Matrícula Total,1.900791325
(a) Universidades Estatales CRUCH,U. DE LA FRONTERA,Mts2 de Salas / Matrícula Total,1.219019397
(a) Universidades Estatales CRUCH,U. DE CHILE,Mts2 de Salas / Matrícula Total,1.283916863
(a) Universidades Estatales CRUCH,U. DE AYSEN,Mts2 de Salas / Matrícula Total,1.421319797
(a) Universidades Estatales CRUCH,U. DE ATACAMA,Mts2 de Salas / Matrícula Total,1.844819985
(a) Universidades Estatales CRUCH,U. DE ANTOFAGASTA,Mts2 de Salas / Matrícula Total,1.014927245
(a) Universidades Estatales CRUCH,U. ARTURO PRAT,Mts2 de Salas / Matrícula Total,0.852038672
(a) Universidades Estatales CRUCH,U. TECNOLÓGICA METROPOLITANA,Matrícula Total / N° PC en Laboratorios,5.416149068
(a) Universidades Estatales CRUCH,U. METROPOLITANA DE CIENCIAS DE LA EDUCACIÓN,Matrícula Total / N° PC en Laboratorios,9.452586207
(a) Universidades Estatales CRUCH,U. DEL BÍO-BÍO,Matrícula Total / N° PC en Laboratorios,17.785607196
(a) Universidades Estatales CRUCH,U. DE VALPARAÍSO,Matrícula Total / N° PC en Laboratorios,9.066920566
(a) Universidades Estatales CRUCH,U. DE TARAPACÁ,Matrícula Total / N° PC en Laboratorios,2.840167614
(a) Universidades Estatales CRUCH,U. DE TALCA,Matrícula Total / N° PC en Laboratorios,1.240330614
(a) Universidades Estatales CRUCH,U. DE SANTIAGO DE CHILE,Matrícula Total / N° PC en Laboratorios,2.648717949
(a) Universidades Estatales CRUCH,U. DE PLAYA ANCHA DE CIENCIAS DE LA EDUCACIÓN,Matrícula Total / N° PC en Laboratorios,5.284773060
(a) Universidades Estatales CRUCH,U. DE O HIGGINS,Matrícula Total / N° PC en Laboratorios,9.101369863
(a) Universidades Estatales CRUCH,U. DE MAGALLANES,Matrícula Total / N° PC en Laboratorios,4.066455696
(a) Universidades Estatales CRUCH,U. DE LOS LAGOS,Matrícula Total / N° PC en Laboratorios,8.781395349
(a) Universidades Estatales CRUCH,U. DE LA SERENA,Matrícula Total / N° PC en Laboratorios,4.802251935
(a) Universidades Estatales CRUCH,U. DE LA FRONTERA,Matrícula Total / N° PC en Laboratorios,5.796980739
(a) Universidades Estatales CRUCH,U. DE CHILE,Matrícula Total / N° PC en Laboratorios,8.372403561
(a) Universidades Estatales CRUCH,U. DE AYSEN,Matrícula Total / N° PC en Laboratorios,5.472222222
(a) Universidades Estatales CRUCH,U. DE ATACAMA,Matrícula Total / N° PC en Laboratorios,9.721428571
(a) Universidades Estatales CRUCH,U. DE ANTOFAGASTA,Matrícula Total / N° PC en Laboratorios,8.052525253
(a) Universidades Estatales CRUCH,U. ARTURO PRAT,Matrícula Total / N° PC en Laboratorios,10.406824147
(a) Universidades Estatales CRUCH,U. TECNOLÓGICA METROPOLITANA,Matrícula Total/N° de Laboratorios,69.007194245
(a) Universidades Estatales CRUCH,U. METROPOLITANA DE CIENCIAS DE LA EDUCACIÓN,Matrícula Total/N° de Laboratorios,32.014598540
(a) Universidades Estatales CRUCH,U. DEL BÍO-BÍO,Matrícula Total/N° de Laboratorios,228.134615385
(a) Universidades Estatales CRUCH,U. DE VALPARAÍSO,Matrícula Total/N° de Laboratorios,46.943661972
(a) Universidades Estatales CRUCH,U. DE TARAPACÁ,Matrícula Total/N° de Laboratorios,31.009803922
(a) Universidades Estatales CRUCH,U. DE TALCA,Matrícula Total/N° de Laboratorios,19.639261745
(a) Universidades Estatales CRUCH,U. DE SANTIAGO DE CHILE,Matrícula Total/N° de Laboratorios,50.502222222
(a) Universidades Estatales CRUCH,U. DE PLAYA ANCHA DE CIENCIAS DE LA EDUCACIÓN,Matrícula Total/N° de Laboratorios,58.691056911
(a) Universidades Estatales CRUCH,U. DE O HIGGINS,Matrícula Total/N° de Laboratorios,174.842105263
(a) Universidades Estatales CRUCH,U. DE MAGALLANES,Matrícula Total/N° de Laboratorios,26.047297297
(a) Universidades Estatales CRUCH,U. DE LOS LAGOS,Matrícula Total/N° de Laboratorios,75.52
(a) Universidades Estatales CRUCH,U. DE LA SERENA,Matrícula Total/N° de Laboratorios,24.198581560
(a) Universidades Estatales CRUCH,U. DE LA FRONTERA,Matrícula Total/N° de Laboratorios,38.4
(a) Universidades Estatales CRUCH,U. DE CHILE,Matrícula Total/N° de Laboratorios,35.812330009
(a) Universidades Estatales CRUCH,U. DE AYSEN,Matrícula Total/N° de Laboratorios,39.4
(a) Universidades Estatales CRUCH,U. DE ATACAMA,Matrícula Total/N° de Laboratorios,41.748466258
(a) Universidades Estatales CRUCH,U. DE ANTOFAGASTA,Matrícula Total/N° de Laboratorios,26.397350993
(a) Universidades Estatales CRUCH,U. ARTURO PRAT,Matrícula Total/N° de Laboratorios,34.985294118
(a) Universidades Estatales CRUCH,U. TECNOLÓGICA METROPOLITANA,Matrícula Total / N° PC con Internet ,
(a) Universidades Estatales CRUCH,U. METROPOLITANA DE CIENCIAS DE LA EDUCACIÓN,Matrícula Total / N° PC con Internet ,
(a) Universidades Estatales CRUCH,U. DEL BÍO-BÍO,Matrícula Total / N° PC con Internet ,
(a) Universidades Estatales CRUCH,U. DE VALPARAÍSO,Matrícula Total / N° PC con Internet ,
(a) Universidades Estatales CRUCH,U. DE TARAPACÁ,Matrícula Total / N° PC con Internet ,
