,Institución,# Publicaciones,# Autores,% Hombre,% Mujer,Producción Per Cápita,año,region
14,Universidad Nacional Andrés Bello,1,1,100,0,1.0,2010,Región del Biobío
15,Universidad San Sebastián,8,11,44,56,0.7,2010,Región del Biobío
16,Universidad Santo Tomás,2,2,100,0,1.0,2010,Región del Biobío
17,Centro de Investigacion de Polimeros Avanzados,1,1,0,0,1.0,2010,Región del Biobío
18,Centro de Investigacion en Ecosistemas de la Patagonia,1,1,100,0,1.0,2010,Región del Biobío
19,Centro de Sangre de Concepcion,2,3,0,100,0.7,2010,Región del Biobío
20,Instituto de Ecologia y Biodiversidad,2,3,67,33,0.7,2010,Región del Biobío
21,Consorcio Genómica Forestal,1,2,50,50,0.5,2010,Región del Biobío
0,Hospital Clínico Herminda Martin,1,1,100,0,1.0,2010,Región de Ñuble
1,Universidad de Concepción,52,68,65,35,0.8,2010,Región de Ñuble
2,Universidad del Bío Bío,40,38,75,25,1.1,2010,Región de Ñuble
3,Instituto de Investigaciones Agropecuarias,19,26,76,24,0.7,2010,Región de Ñuble
0,Corp Nacl Cobre,1,2,100,0,0.5,2011,Región del Libertador General Bernardo O'Higgins
1,Hospital Regional de Rancagua,2,2,100,0,1.0,2011,Región del Libertador General Bernardo O'Higgins
2,Universidad Diego Portales,1,1,100,0,1.0,2011,Región del Libertador General Bernardo O'Higgins
3,Centro de Estudios Avanzados en Fruticultura,1,1,100,0,1.0,2011,Región del Libertador General Bernardo O'Higgins
4,Instituto de Investigaciones Agropecuarias,6,5,100,0,1.2,2011,Región del Libertador General Bernardo O'Higgins
0,Hospital Regional de Talca,4,6,67,33,0.7,2011,Región del Maule
1,Universidad Autónoma de Chile,7,6,67,33,1.2,2011,Región del Maule
2,Universidad Católica del Maule,50,61,64,36,0.8,2011,Región del Maule
3,Universidad de la Frontera,1,1,100,0,1.0,2011,Región del Maule
4,Universidad de Talca,156,207,68,32,0.8,2011,Región del Maule
5,Universidad del Mar,1,1,100,0,1.0,2011,Región del Maule
6,Universidad Santo Tomás,2,4,75,25,0.5,2011,Región del Maule
0,Bioforest SA,5,3,100,0,1.7,2011,Región del Biobío
1,Clínica Sanatorio Alemán,7,11,91,9,0.6,2011,Región del Biobío
2,Forestal Mininco SA,1,1,100,0,1.0,2011,Región del Biobío
3,Hospital Guillermo Grant Benavente,2,2,50,50,1.0,2011,Región del Biobío
4,Hospital Las Higueras,4,5,60,40,0.8,2011,Región del Biobío
5,Hospital Regional de Concepción,5,4,100,0,1.3,2011,Región del Biobío
6,Inst Fomento Pesquero IFOP,1,1,0,100,1.0,2011,Región del Biobío
7,Red Conservacionista Patrimonio Nat Contulmo,1,1,100,0,1.0,2011,Región del Biobío
8,Universidad Bolivariana,1,1,100,0,1.0,2011,Región del Biobío
9,Universidad Católica de la Santísima Concepción,42,61,60,40,0.7,2011,Región del Biobío
10,Universidad de Concepción,727,884,68,32,0.8,2011,Región del Biobío
