,Institución,# Publicaciones,# Autores,% Hombre,% Mujer,Producción Per Cápita,año
24,Universidad del Desarrollo,15,20,72,28,0.8,2012
25,Universidad Nacional Andrés Bello,7,7,43,57,1.0,2012
26,Universidad San Sebastián,8,8,50,50,1.0,2012
27,Universidad Santo Tomás,1,1,100,0,1.0,2012
28,Universidad Técnica Federico Santa María,1,1,100,0,1.0,2012
29,Centro de Biotecnologia Acuicola,1,4,25,75,0.3,2012
30,Centro de Estudios Avanzados en Fruticultura,5,9,75,25,0.6,2012
31,Centro de Investigacion de Polimeros Avanzados,16,7,50,50,2.3,2012
32,Centro de Optica y Fotonica,9,6,80,20,1.5,2012
33,Centro de Salud Familiar,1,1,0,100,1.0,2012
34,Comision Nacional de Investigacion Cientifica y Tecnologica,1,1,100,0,1.0,2012
35,Hospital del Trabajador,1,1,100,0,1.0,2012
36,Instituto de Investigaciones Agropecuarias,16,23,62,38,0.7,2012
37,Instituto Forestal,1,1,100,0,1.0,2012
38,Servicio Nacional de Pesca y Acuicultura,1,1,100,0,1.0,2012
39,Consorcio Genómica Forestal,3,4,50,50,0.8,2012
40,Museo Historia Natural de Concepción,1,1,100,0,1.0,2012
0,Bioforest SA,3,3,100,0,1.0,2013
1,Chilean Forest Inst INFOR,1,1,0,100,1.0,2013
2,Clínica Sanatorio Alemán,1,1,0,0,1.0,2013
3,Centro de investigación Oceanográfica en el Pacífico Sur Oriental,3,7,100,0,0.4,2013
4,Corp Nacl Cobre,1,1,100,0,1.0,2013
5,Corp Nacl Forestal,1,1,0,100,1.0,2013
6,DATCO Chile,2,1,0,100,2.0,2013
7,Forestal Mininco SA,4,3,67,33,1.3,2013
8,Hospital Guillermo Grant Benavente,5,3,50,50,1.7,2013
9,Hospital Las Higueras,3,6,40,60,0.5,2013
10,Hospital Regional de Concepción,1,4,100,0,0.3,2013
11,Hospital Regional de Rancagua,2,3,100,0,0.7,2013
12,Hospital Regional de Talca,8,18,71,29,0.4,2013
13,Instituto de Investigaciones Agropecuarias,1,1,100,0,1.0,2013
14,Inst Invest Pesquera INPESCA,3,7,86,14,0.4,2013
15,Lab Ingn Acuicola Irene Lepez Ltda,1,3,33,67,0.3,2013
16,Lab Proc Oceanog & Clima,2,2,0,100,1.0,2013
17,Red Conservacionista Patrimonio Nat Contulmo,1,1,100,0,1.0,2013
18,Universidad Adventista de Chile,2,2,100,0,1.0,2013
19,Universidad Autónoma de Chile,4,5,80,20,0.8,2013
20,Universidad Católica de la Santísima Concepción,50,54,66,34,0.9,2013
21,Universidad Católica del Maule,50,73,67,33,0.7,2013
22,Universidad de Chile,1,4,25,75,0.3,2013
23,Universidad de Concepción,854,1075,65,35,0.8,2013
24,Universidad de la Frontera,1,1,0,100,1.0,2013
25,Universidad de Talca,239,269,70,30,0.9,2013
26,Universidad del Bío Bío,137,142,70,30,1.0,2013
27,Universidad del Desarrollo,18,15,80,20,1.2,2013
28,Universidad Nacional Andrés Bello,9,8,50,50,1.1,2013
29,Universidad San Sebastián,4,3,33,67,1.3,2013
30,Universidad Santo Tomás,6,6,80,20,1.0,2013
31,Astilleros y Maestranza de La Armada,1,2,100,0,0.5,2013
32,Centro de Estudios Avanzados en Fruticultura,11,10,67,33,1.1,2013
33,Centro de Investigacion de Polimeros Avanzados,9,11,40,60,0.8,2013
34,Centro Nacional de Investigacion para la Gestion Integrada de Desastres Naturales,1,3,100,0,0.3,2013
35,Centro de Ciencia del Clima y la Resiliencia,1,2,0,100,0.5,2013
36,Instituto de Investigaciones Agropecuarias,21,29,72,28,0.7,2013
37,Universidad de Aconcagua,1,1,100,0,1.0,2013
38,Centro Interdisciplinario de Investigación en Acuicultura Sustentable,26,9,100,0,2.9,2013
39,Núcleo Milenio de Investigación en Economía Ambiental y Recursos Naturales,1,1,100,0,1.0,2013
40,Museo Regional de Rancagua,1,1,100,0,1.0,2013
41,Iniciativa Científica Milenio,1,1,100,0,1.0,2013
42,Centro de Estudios en Alimentos Procesados,3,3,100,0,1.0,2013
0,Asociación Chilena de Seguridad,3,1,100,0,3.0,2014
1,Bioforest SA,3,2,50,50,1.5,2014
2,Clínica Alemana,1,1,100,0,1.0,2014
3,Clínica Sanatorio Alemán,1,1,100,0,1.0,2014
4,Consultorio Pudahuel,1,1,100,0,1.0,2014
5,Centro de investigación Oceanográfica en el Pacífico Sur Oriental,1,2,50,50,0.5,2014
6,Corp Nacl Forestal,1,1,0,100,1.0,2014
7,Forestal Mininco SA,2,3,67,33,0.7,2014
8,Hospital Clínico FUSAT,4,1,0,100,4.0,2014
9,Hospital Clínico Herminda Martin,2,2,50,50,1.0,2014
10,Hospital Guillermo Grant Benavente,4,8,63,38,0.5,2014
11,Hospital Las Higueras,2,4,75,25,0.5,2014
12,Hospital Regional de Rancagua,1,1,0,0,1.0,2014
13,Hospital Regional de Talca,4,4,100,0,1.0,2014
14,Instituto de Investigaciones Agropecuarias,1,1,0,100,1.0,2014
15,Inst Chile,1,1,100,0,1.0,2014
16,Inst Forestal INFOR,1,6,83,17,0.2,2014
17,Inst Invest Pesquera INPESCA,3,3,100,0,1.0,2014
18,MELISA Inst,1,4,67,33,0.3,2014
19,Pontificia Universidad Católica de Chile,1,1,100,0,1.0,2014
20,Servicio Agrícola y Ganadero,1,1,100,0,1.0,2014
21,Servicio Médico Legal,1,1,100,0,1.0,2014
22,SUMIRCO,3,1,100,0,3.0,2014
23,Universidad Autónoma de Chile,22,15,67,33,1.5,2014
24,Universidad Católica de la Santísima Concepción,74,87,63,37,0.9,2014
25,Universidad Católica del Maule,51,56,74,26,0.9,2014
26,Universidad de Chile,1,1,100,0,1.0,2014
27,Universidad de Concepción,885,1109,65,35,0.8,2014
28,Universidad de la Frontera,1,1,100,0,1.0,2014
29,Universidad de Talca,281,307,77,23,0.9,2014
30,Universidad del Bío Bío,149,149,75,25,1.0,2014
31,Universidad del Desarrollo,18,19,72,28,0.9,2014
32,Universidad Diego Portales,1,1,100,0,1.0,2014
33,Universidad Nacional Andrés Bello,11,10,80,20,1.1,2014
34,Universidad Pedro de Valdivia,1,3,33,67,0.3,2014
35,Universidad San Sebastián,13,16,56,44,0.8,2014
36,Universidad Santo Tomás,9,15,79,21,0.6,2014
37,Centro de Ciencias Ambientales,1,1,0,0,1.0,2014
38,Centro de Desarrollo Urbano Sustentable,1,2,100,0,0.5,2014
39,Centro de Estudios Avanzados en Fruticultura,4,12,73,27,0.3,2014
40,Centro de Investigacion de Polimeros Avanzados,18,13,73,27,1.4,2014
41,Centro de Salud Familiar,1,1,0,100,1.0,2014
42,Centro de Ciencia del Clima y la Resiliencia,2,3,33,67,0.7,2014
43,Hospital Naval Almirante Adriazola,1,1,100,0,1.0,2014
44,Instituto de Ecologia y Biodiversidad,1,1,100,0,1.0,2014
45,Instituto de Investigaciones Agropecuarias,10,12,75,25,0.8,2014
46,Instituto Forestal,1,2,100,0,0.5,2014
47,Consorcio Genómica Forestal,2,4,75,25,0.5,2014
48,Centro Interdisciplinario de Investigación en Acuicultura Sustentable,51,22,90,10,2.3,2014
49,Instituto Milenio de Oceanografía,2,1,100,0,2.0,2014
50,Núcleo Milenio de Investigación en Economía Ambiental y Recursos Naturales,1,4,100,0,0.3,2014
51,Centro de Estudios en Alimentos Procesados,1,1,100,0,1.0,2014
